"FECHA","NRO_FACTURA","DESCRIPCION","MONTO","TIPO"
02/02/2012,"001-021-3679814","ANDE",206040,"E"
02/02/2012,"001-021-3679815","ANDE",41820,"E"
02/02/2012,"001-001-0009192","REBECA",11230,"E"
05/02/2012,"002-002-0387583","STOCK",9140,"E"
06/02/2012,"001-001-0009277","REBECA",4420,"E"
07/02/2012,"001-001-0002109","CIBB",2452000,"E"
08/02/2012,"001-001-0288068","ECORESA",90000,"E"
10/02/2012,"001-085-0007752","EL MACHETAZO",58030,"E"
10/02/2012,"001-001-3466368","ESSAP",35000,"E"
10/02/2012,"005-002-0021943","NOVA",63000,"E"
13/02/2012,"001-088-0007952","EL MACHETAZO",8970,"E"
14/02/2012,"001-001-0022298","TIENDA JUANITA",35000,"E"
17/02/2012,"002-007-0668409","STOCK",52500,"E"
18/02/2012,"001-001-0022355","TIENDA JUANITA",22500,"E"
22/02/2012,"001-005-2140193","COPACO",153011,"E"
29/02/2012,"002-001-0000527","IBB",6793100,"I"
29/02/2012,"002-001-0000581","IBB",2596000,"E"
29/02/2012,"002-001-0000582","IBB",609000,"E"
29/02/2012,"001-003-0014382","REFLEXION, MUSICA Y LIBROS",238400,"E"
04/03/2012,"002-012-0459237","STOCK",10030,"E"
06/03/2012,"001-021-3983125","ANDE",406000,"E"
06/03/2012,"001-001-3659261","ESSAP",33648,"E"
06/03/2012,"002-001-0156259","RYSA",15000,"E"
15/03/2012,"001-002-0000317","RINCON CRISTIANO",80000,"E"
15/03/2012,"002-001-0377093","STOCK",94970,"E"
23/03/2012,"001-005-2542710","COPACO",204508,"E"
23/03/2012,"002-006-0310121","STOCK",31145,"E"
24/03/2012,"001-001-0003319","ADRI ELECTRONICA & CAR AUDIO",40000,"E"
24/03/2012,"001-001-0024296","ELECTRO SANIFER",12500,"E"
24/03/2012,"001-006-0498664","SALEMMA",123503,"E"
24/03/2012,"002-007-0685073","STOCK",55451,"E"
25/03/2012,"002-001-0000584","IBB",150000,"E"
28/03/2012,"005-001-0025114","NOVA",41630,"E"
30/03/2012,"002-002-0404381","STOCK",30971,"E"
31/03/2012,"002-001-0000528","IBB",10817300,"I"
31/03/2012,"002-001-0000585","IBB",798500,"E"
31/03/2012,"002-001-0000586","IBB",250000,"E"
31/03/2012,"002-001-0000587","IBB",208000,"E"
31/03/2012,"002-001-0000588","IBB",400000,"E"
31/03/2012,"002-001-0000589","IBB",2176000,"E"
31/03/2012,"002-001-0000590","IBB",136900,"E"
31/03/2012,"002-005-0553179","STOCK",92350,"E"
01/04/2012,"002-012-0468893","STOCK",10030,"E"
02/04/2012,"001185-00098819","ANDE",360000,"E"
02/04/2012,"001185-00098820","ANDE",576000,"E"
02/04/2012,"001185-00098821","ANDE",46920,"E"
02/04/2012,"001-037-0117447","SALEMMA",57200,"E"
03/04/2012,"002-001-0159155","RYSA",15000,"E"
04/04/2012,"001-001-0014345","DESPENSA CAMILA",38000,"E"
10/04/2012,"001-001-3852458","ESSAP",33648,"E"
10/04/2012,"003-001-0063281","MITO",160000,"E"
13/04/2012,"001-001-0050442","PINTURERIA SAN LORENZO",75000,"E"
13/04/2012,"001-001-0050471","PINTURERIA SAN LORENZO",150000,"E"
14/04/2012,"002-034-0233310","STOCK",96330,"E"
17/04/2012,"001-001-0050930","PINTURERIA SAN LORENZO",75000,"E"
19/04/2012,"001-001-0001001","BRIAN",40000,"E"
19/04/2012,"001-001-0091174","CARPICENTER",128040,"E"
20/04/2012,"001-001-0004191","THE SONG",900000,"E"
21/04/2012,"001-001-000552","AMOR VERDADERO PRODUCCIONES",250000,"E"
22/04/2012,"007-003-0249914","FARMACENTER",18200,"E"
24/04/2012,"001-005-2945542","COPACO",224689,"E"
24/04/2012,"003-001-0045371","SHOPPING TODO HOGAR",11800,"E"
26/04/2012,"003-001-0045466","SHOPPING TODO HOGAR",9450,"E"
30/04/2012,"001-001-0004724","FERRETERIA TRES HERMANOS",25000,"E"
02/05/2012,"012-003-0114711","URBIWORLD",66200,"E"
03/05/2012,"001-000-0006261","PC CENTER",25000,"E"
04/05/2012,"001-001-0332735","ECORESA",90000,"E"
04/05/2012,"002-003-0596283","STOCK",41861,"E"
05/05/2012,"001-001-0002707","ELECTRONICA MENDOZA",65000,"E"
07/05/2012,"001-021-4584350","ANDE",297000,"E"
07/05/2012,"001-021-4584392","ANDE",235000,"E"
07/05/2012,"001-021-4584393","ANDE",84000,"E"
07/05/2012,"002-001-0162208","RYSA",15000,"E"
10/05/2012,"005-002-0027522","NOVA",38130,"E"
10/05/2012,"001-001-0010974","REBECA",52900,"E"
11/05/2012,"002-032-0190169","STOCK",45946,"E"
17/05/2012,"001-001-4045702","ESSAP",37727,"E"
17/05/2012,"002-003-0601903","STOCK",91320,"E"
18/05/2012,"002-013-0433076","STOCK",31146,"E"
19/05/2012,"001-085-0025116","MACHETAZO",48000,"E"
19/05/2012,"001-026-0151649","SALEMMA",51010,"E"
19/05/2012,"002-032-0191304","STOCK",17360,"E"
19/05/2012,"001-005-0123417","SUPREMO",45820,"E"
19/05/2012,"001-005-0123539","SUPREMO",26026,"E"
21/05/2012,"001-005-3349003","COPACO",229689,"E"
25/05/2012,"001-004-0038640","MONSERRAT",320000,"E"
25/05/2012,"002-011-0575572","STOCK",29494,"E"
29/05/2012,"003-001-0064925","MITO",85000,"E"
31/05/2012,"001-001-0025319","ELECTRO SANIFER",120000,"E"
31/05/2012,"012-003-0002792","TECNOSERVICE",8255500,"E"
03/06/2012,"002-002-0422513","STOCK",7810,"E"
03/06/2012,"002-005-0581823","STOCK",41393,"E"
04/06/2012,"001-021-4895861","ANDE",196860,"E"
04/06/2012,"001-001-0056541","PINTURERIA SAN LORENZO",40000,"E"
05/06/2012,"001-001-0025401","ELECTRO SANIFER",16500,"E"
05/06/2012,"001-001-0000482","JORGE ARIEL HIDALGO GALEANO",600000,"E"
06/06/2012,"001-021-4880625","ANDE",137701,"E"
06/06/2012,"001-021-4880626","ANDE",61200,"E"
06/06/2012,"001-001-0002146","CIBB",3800000,"E"
06/06/2012,"001-001-4239237","ESSAP",33648,"E"
06/06/2012,"001-001-0056896","PINTURERIA SAN LORENZO",46500,"E"
08/06/2012,"002-034-0273519","STOCK",44640,"E"
09/06/2012,"001-001-0011260","REBECA",13600,"E"
10/06/2012,"001-043-0095320","SALEMMA",89100,"E"
14/06/2012,"001-002-0016328","REFLEXION, MUSICA Y LIBROS",46750,"E"
15/06/2012,"001-001-0001033","COMERCIAL EL MAYORISTA",44000,"E"
15/06/2012,"001-001-0011281","REBECA",8160,"E"
15/06/2012,"002-036-0281165","STOCK",22327,"E"
16/06/2012,"001-002-0004436","PC CENTER",80000,"E"
16/06/2012,"002-003-0615338","STOCK",21440,"E"
20/06/2012,"001-005-3751849","COPACO",281670,"E"
21/06/2012,"001-001-0376549","ECORESA",90000,"E"
23/06/2012,"002-002-0427711","STOCK",28069,"E"
25/06/2012,"001-001-0011413","REBECA",88200,"E"
27/06/2012,"002-001-0000601","IBB",257547,"E"
27/06/2012,"002-001-0000601","IBB",5184900,"I"
27/06/2012,"002-001-0000602","IBB",4974000,"E"
27/06/2012,"002-001-0000602","IBB",7623400,"I"
27/06/2012,"002-001-0000603","IBB",1200000,"E"
28/06/2012,"002-003-0620545","STOCK",77898,"E"
28/06/2012,"002-004-0571142","STOCK",40892,"E"
28/06/2012,"002-004-0571143","STOCK",8800,"E"
28/06/2012,"001-002-0272379","SUPREMO",43730,"E"
29/06/2012,"002-001-0000603","IBB",5737750,"E"
30/06/2012,"026-002-0238563","FARMACENTER",19250,"E"
30/06/2012,"001-001-0000268","NEW PAREJHARA",35000,"E"
30/06/2012,"002-007-0727942","STOCK",18540,"E"
01/07/2012,"002-014-0234627","STOCK",7850,"E"
04/07/2012,"001-004-0041503","MONSERRAT",200000,"E"
05/07/2012,"001-001-0001701","ALBA",63000,"E"
05/07/2012,"001-021-5157546","ANDE",140760,"E"
05/07/2012,"001-021-5157547","ANDE",61200,"E"
05/07/2012,"001-003-0228235","LOS CORRALES",320000,"E"
06/07/2012,"002-006-0315947","STOCK",23571,"E"
08/07/2012,"002-001-0000604","IBB",150000,"E"
14/07/2012,"023-002-0000173","STOCK",13171,"E"
16/07/2012,"001-001-4433427","ESSAP",34668,"E"
20/07/2012,"023-021-0003187","STOCK",29545,"E"
23/07/2012,"001-005-4155305","COPACO",220339,"E"
24/07/2012,"001-004-0042890","MONSERRAT",100000,"E"
24/07/2012,"001-001-0001959","NIPPON AMERICA",82500,"E"
24/07/2012,"001-001-0005334","PC SOLUCIONES",60000,"E"
27/07/2012,"001-001-0001704","ALBA",122000,"E"
27/07/2012,"023-019-0005480","STOCK",50859,"E"
31/07/2012,"002-001-0000604","IBB",7442600,"I"
31/07/2012,"001-004-0043407","MONSERRAT",100000,"E"
31/07/2012,"001-004-0043419","MONSERRAT",320000,"E"
31/07/2012,"023-011-0006797","STOCK",97234,"E"
03/08/2012,"023-001-0009297","STOCK",47259,"E"
06/08/2012,"001-021-5452276","ANDE",55080,"E"
06/08/2012,"001-021-5452317","ANDE",122400,"E"
06/08/2012,"001-021-5452318","ANDE",59161,"E"
06/08/2012,"001-001-4627237","ESSAP",35688,"E"
08/08/2012,"002-001-0000605","IBB",800000,"E"
09/08/2012,"001-001-0002002","NIPPON AMERICA",40000,"E"
11/08/2012,"023-005-0013848","STOCK",14948,"E"
15/08/2012,"001-001-0021354","DISTRIBUIDORA EL CHILENO",132000,"E"
16/08/2012,"001-004-0044565","MONSERRAT",200000,"E"
19/08/2012,"023-023-0004349","STOCK",52420,"E"
21/08/2012,"001-005-4559019","COPACO",213319,"E"
21/08/2012,"001-001-0678847","SELTZ",214000,"E"
25/08/2012,"010-002-0072839","LUMINOTECNIA",59400,"E"
29/08/2012,"002-001-0000605","IBB",6561500,"I"
29/08/2012,"001-004-0045556","MONSERRAT",320000,"E"
30/08/2012,"023-007-0020606","STOCK",100440,"E"
31/08/2012,"002-001-0000606","IBB",3316000,"E"
01/09/2012,"023-003-0023649","STOCK",17400,"E"
09/09/2012,"001-001-0012276","REBECA",4740,"E"
10/09/2012,"001-021-5754379","ANDE",48960,"E"
10/09/2012,"001-001-4822608","ESSAP",36707,"E"
10/09/2012,"002-001-0174091","RYSA",15000,"E"
11/09/2012,"001-001-0000193","O.T.",1050000,"E"
13/09/2012,"001-004-0046733","MONSERRAT",200000,"E"
14/09/2012,"023-011-0021112","STOCK",39618,"E"
15/09/2012,"007-002-0297073","FARMACENTER",18200,"E"
16/09/2012,"001-004-0046942","MONSERRAT",300000,"E"
18/09/2012,"001-001-0027233","ELECTRO SANIFER",95000,"E"
21/09/2012,"001-001-0445929","ECORESA",90000,"E"
21/09/2012,"001-070-0042495","EL MACHETAZO",126500,"E"
21/09/2012,"023-004-0025450","STOCK",46612,"E"
22/09/2012,"001-001-0001709","CENTRO DE EVENTOS TERESITA",220000,"E"
22/09/2012,"001-001-0017030","MARIA AUXILIADORA",60000,"E"
22/09/2012,"001-001-2490083","NOVEX",215112,"E"
22/09/2012,"023-008-0006011","STOCK",22520,"E"
22/09/2012,"023-012-0021710","STOCK",34800,"E"
22/09/2012,"023-012-0021711","STOCK",78673,"E"
22/09/2012,"023-017-0016929","STOCK",128960,"E"
22/09/2012,"003-054-0200612","SUPERSEIS",346308,"E"
23/09/2012,"002-001-0000608","IBB",300000,"E"
23/09/2012,"023-012-0021948","STOCK",39000,"E"
26/09/2012,"001-001-0010813","EXTINTORES 2RR",140000,"E"
27/09/2012,"659541","MUNICIPALIDAD DE SAN LORENZO",209474,"E"
29/09/2012,"001-001-0012509","REBECA",4500,"E"
30/09/2012,"002-001-0000606","IBB",8284750,"I"
01/10/2012,"001-004-0048078","MONSERRAT",300000,"E"
01/10/2012,"023-021-0026597","STOCK",75500,"E"
04/10/2012,"001-021-6038985","ANDE",340680,"E"
04/10/2012,"001-021-6038986","ANDE",122400,"E"
06/10/2012,"023-012-0026265","STOCK",38943,"E"
07/10/2012,"001-001-0237055","CASA ROSADA",420000,"E"
07/10/2012,"002-001-0000609","IBB",150000,"E"
07/10/2012,"002-001-0000610","IBB",220000,"E"
07/10/2012,"002-001-0000611","IBB",613012,"E"
07/10/2012,"002-001-0000612","IBB",312770,"E"
07/10/2012,"002-001-0000613","IBB",1658000,"E"
09/10/2012,"001-021-6038944","ANDE",160141,"E"
09/10/2012,"001-001-5018458","ESSAP",35688,"E"
09/10/2012,"002-001-0176870","RYSA",15000,"E"
11/10/2012,"001-001-0027671","ELECTRO SANIFER",24000,"E"
12/10/2012,"023-017-0021026","STOCK",45867,"E"
13/10/2012,"001-001-0002153","CIBB",3975000,"E"
14/10/2012,"023-004-0032261","STOCK",52690,"E"
16/10/2012,"001-008-0056212","SELTZ",44000,"E"
19/10/2012,"023-021-0033265","STOCK",28342,"E"
20/10/2012,"001-004-0049624","MONSERRAT",100000,"E"
23/10/2012,"001-005-5368053","COPACO",474789,"E"
26/10/2012,"001-001-0000139","CHIPERIA AARON",1280000,"E"
28/10/2012,"002-001-0000607","IBB",6583500,"I"
28/10/2012,"002-001-0000614","IBB",1658000,"E"
28/10/2012,"002-001-0000615","IBB",150000,"E"
28/10/2012,"002-001-0000616","IBB",400000,"E"
29/10/2012,"001-004-0050212","MONSERRAT",220000,"E"
03/11/2012,"023-005-0053013","STOCK",30693,"E"
03/11/2012,"023-005-0053013","STOCK",39693,"E"
05/11/2012,"001-021-6323968","ANDE",221340,"E"
05/11/2012,"001-021-6323969","ANDE",55080,"E"
05/11/2012,"001-001-0002155","CIBB",1580000,"E"
09/11/2012,"001-004-0051072","MONSERRAT",220000,"E"
09/11/2012,"023-009-0030892","STOCK",41261,"E"
10/11/2012,"001-001-0028319","ELECTRO SANIFER",13500,"E"
10/11/2012,"001-001-0013110","REBECA",13600,"E"
12/11/2012,"001-001-5213213","ESSAP",35688,"E"
14/11/2012,"001-001-0002270","NIPPON AMERICA",380000,"E"
16/11/2012,"001-004-0051607","MONSERRAT",300000,"E"
16/11/2012,"023-017-0027904","STOCK",27251,"E"
16/11/2012,"023-017-0027904","STOCK",27251,"E"
20/11/2012,"001-008-0060524","SELTZ",44000,"E"
21/11/2012,"001-005-5773505","COPACO",236324,"E"
23/11/2012,"001-001-0000150","CHIPERIA AARON",1280000,"E"
24/11/2012,"023-003-0061674","STOCK",98150,"E"
25/11/2012,"002-001-0000608","IBB",5110200,"I"
25/11/2012,"002-001-0000617","IBB",1658000,"E"
25/11/2012,"002-001-0000618","IBB",400000,"E"
25/11/2012,"002-001-0000619","IBB",150000,"E"
25/11/2012,"002-001-0000620","IBB",440000,"E"
25/11/2012,"002-001-0000621","IBB",3316000,"E"
25/11/2012,"002-001-0000622","IBB",210000,"E"
25/11/2012,"002-001-0000623","IBB",250000,"E"
01/12/2012,"036-001-0010552","GESTION DE SERVICIOS",200000,"E"
01/12/2012,"023-001-0058957","STOCK",65000,"E"
07/12/2012,"023-009-0037364","STOCK",59671,"E"
10/12/2012,"001-021-6639225","ANDE",419000,"E"
10/12/2012,"001-021-6639267","ANDE",280500,"E"
10/12/2012,"001-021-6639268","ANDE",59161,"E"
10/12/2012,"001-001-5408556","ESSAP",36707,"E"
12/12/2012,"001-004-0053469","MONSERRAT",320000,"E"
15/12/2012,"001-001-0001476","JORGE ARIEL DIEZ",120000,"E"
15/12/2012,"001-035-1006038","LA BLANCA",392173,"E"
16/12/2012,"023-019-0053301","STOCK",355550,"E"
16/12/2012,"003-047-0195598","SUPERSEIS",155583,"E"
16/12/2012,"001-002-0304193","SUPREMO",36330,"E"
20/12/2012,"001-001-0003271","LAVA TUTI",50000,"E"
22/12/2012,"002-002-0028172","AGROFEPAR",40000,"E"
22/12/2012,"002-002-0028175","AGROFEPAR",25000,"E"
22/12/2012,"001-001-0014959","CASA WALTHER",120000,"E"
22/12/2012,"001-001-0014959","WALTER REFRIGERACION",120000,"E"
24/12/2012,"001-001-0000488","LA LUQUEÑITA",58000,"E"
31/12/2012,"002-001-0000609","IBB",10380350,"I"
02/01/2013,"001-001-0014704","BUENA DISTRIBUIDORA DUARTE",80000,"E"
04/01/2013,"023-003-0081037","STOCK",91600,"E"
27/01/2013,"002-001-0000625","IBB",150000,"E"
31/01/2013,"002-001-0000610","IBB",3439800,"I"
31/01/2013,"002-001-0000627","IBB",1230000,"E"
31/01/2013,"002-001-0000628","IBB",650000,"E"
31/01/2013,"002-001-0000630","IBB",600000,"E"
02/02/2013,"001-001-0017447","MARIA AUXILIADORA",16000,"E"
02/02/2013,"001-001-2642494","NOVEX",73479,"E"
03/02/2013,"023-012-0063215","STOCK",98722,"E"
04/02/2013,"023-009-0054075","STOCK",95896,"E"
07/02/2013,"002-001-0187600","RYSA",15000,"E"
08/02/2013,"001-001-0177265","LAURELTY",50000,"E"
10/02/2013,"010-001-0207260","COMBUBAR SRL",50000,"E"
11/02/2013,"001-002-0008291","CHOFERES COMBUSTIBLES SRL",50000,"E"
12/02/2013,"005-006-0266611","SAN NICOLAS",50000,"E"
15/02/2013,"001-001-0003197","ELECTRONICA MENDOZA",57000,"E"
15/02/2013,"003-001-0064655","SHOPPING TODO HOGAR",16300,"E"
16/02/2013,"001-001-0003205","ELECTRONICA MENDOZA",33000,"E"
18/02/2013,"009-008-0048006","TAPE POTY",50000,"E"
21/02/2013,"001-001-0062993","GRUPO VALENTINA",20000,"E"
23/02/2013,"009-008-0048147","TAPE POTY",50000,"E"
25/02/2013,"001-001-0047088","COPEG SHOP",50000,"E"
26/02/2013,"009-001-0140633","CASA ROSADA",190000,"E"
26/02/2013,"002-001-0000611","IBB",4990500,"I"
26/02/2013,"002-001-0000631","IBB",595000,"E"
28/02/2013,"001-001-0070918","COPETROL",50000,"E"
01/03/2013,"015-001-0084511","GESTION DE SERVICIOS",100000,"E"
01/03/2013,"001-001-0110044","PINTURERIA SAN LORENZO",40800,"E"
02/03/2013,"001-001-0110307","PINTURERIA SAN LORENZO",398000,"E"
02/03/2013,"001-001-0110333","PINTURERIA SAN LORENZO",14000,"E"
05/03/2013,"005-006-0104324","LOS CORRALES",100000,"E"
05/03/2013,"001-001-0008690","SAUCE SRL",50000,"E"
08/03/2013,"023-011-0078324","STOCK",208205,"E"
09/03/2013,"001-004-0059404","MONSERRAT",30000,"E"
10/03/2013,"004-001-0009448","RAPIDITO",31500,"E"
10/03/2013,"023-013-0034096","STOCK",33924,"E"
11/03/2013,"005-006-0272037","PETROSUR",50000,"E"
14/03/2013,"005-006-0272706","PETROSUR",50000,"E"
15/03/2013,"001-001-0105831","PUMA",200000,"E"
24/03/2013,"009-008-0049087","PETROSUR",50000,"E"
26/03/2013,"009-008-0049133","PETROSUR",50000,"E"
26/03/2013,"009-008-0049143","PETROSUR",50000,"E"
28/03/2013,"023-019-0085720","STOCK",94250,"E"
30/03/2013,"001-001-0065782","GRUPO VALENTINA",40000,"E"
31/03/2013,"002-001-0000612","IBB",12424350,"I"
03/04/2013,"005-001-0004356","VIRGEN DEL CARMEN",100000,"E"
05/04/2013,"001-001-0001538","LUMATA SRL",30000,"E"
06/04/2013,"001-001-0001212","MONSERRAT",50000,"E"
07/04/2013,"001-003-0069398","COPETROL",20000,"E"
07/04/2013,"009-008-0049506","PETROSUR",40000,"E"
10/04/2013,"033-003-0070045","GESTION DE SERVICIOS",50000,"E"
10/04/2013,"001-001-0000548","MONSERRAT",100000,"E"
12/04/2013,"003-061-0311534","PUEBLO",18920,"E"
12/04/2013,"023-032-0006293","STOCK",53250,"E"
14/04/2013,"005-001-0003750","LA SUSANA",20000,"E"
14/04/2013,"001-001-0009163","SAUCE SRL",30000,"E"
14/04/2013,"023-044-0002407","STOCK",15345,"E"
20/04/2013,"009-008-0049970","PETROSUR",20000,"E"
20/04/2013,"023-031-0006613","STOCK",78300,"E"
25/04/2013,"005-006-0109316","LOS CORRALES",400000,"E"
27/04/2013,"002-001-0000613","IBB (Sin copia de factura en bibliorato)",8706000,"I"
28/04/2013,"013-001-0057451","UNIPARAGUAY",200000,"E"
30/04/2013,"001-001-0002106","MONSERRAT",50000,"E"
04/05/2013,"001-001-0002397","MONSERRAT",60000,"E"
04/05/2013,"001-001-0001392","SION DRUMS",265000,"E"
07/05/2013,"005-006-0283478","FABIOLA",50000,"E"
08/05/2013,"001-021-7827381","ANDE",624000,"E"
08/05/2013,"002-001-0195375","RYSA",15000,"E"
10/05/2013,"001-001-0005072","CASA IQ STAR",78000,"E"
10/05/2013,"001-001-0060775","CASA KUO PING",40000,"E"
12/05/2013,"001-001-0000323","DON OTAZO",168000,"E"
12/05/2013,"023-037-0000460","STOCK",42536,"E"
13/05/2013,"009-008-0050691","PETROSUR",100000,"E"
16/05/2013,"001-001-0003139","MONSERRAT",100000,"E"
16/05/2013,"023-024-0022032","STOCK",59790,"E"
19/05/2013,"005-006-0111565","LOS CORRALES",50000,"E"
20/05/2013,"001-002-0001490","CHIVATO POTY",72000,"E"
20/05/2013,"001-001-0052133","FERRETERIA GENERAL",32000,"E"
22/05/2013,"005-006-0111881","PETROBRAS",40000,"E"
25/05/2013,"026-003-0003481","GESTION DE SERVICIOS",100000,"E"
27/05/2013,"005-006-0287184","FABIOLA",50000,"E"
29/05/2013,"001-001-0001732","TINTAS SRL",308000,"E"
29/05/2013,"001-001-0001747","TINTAS SRL",270000,"E"
29/05/2013,"001-001-0001808","TINTAS SRL",286000,"E"
